timestamp,channel0,channel1,channel2,channel3
2024-12-24T00:32:00.576375Z,460,596,825,554
2024-12-24T00:32:01.586616Z,470,596,826,548
2024-12-24T00:32:02.594472Z,471,597,826,547
2024-12-24T00:32:03.606262Z,472,596,825,547
2024-12-24T00:32:04.617377Z,473,596,825,545
2024-12-24T00:32:05.625340Z,473,596,825,545
2024-12-24T00:32:06.637114Z,473,597,825,543
2024-12-24T00:32:07.648307Z,474,597,825,542
2024-12-24T00:32:08.656268Z,474,596,825,541
2024-12-24T00:32:09.668239Z,474,597,825,541
2024-12-24T00:32:10.679159Z,474,596,825,543
2024-12-24T00:32:11.687151Z,474,596,824,544
2024-12-24T00:32:12.699114Z,473,596,825,544
2024-12-24T00:32:13.710088Z,473,595,824,544
2024-12-24T00:32:14.718047Z,474,596,822,545
2024-12-24T00:32:15.729807Z,474,596,824,545
2024-12-24T00:32:16.740776Z,474,595,825,544
2024-12-24T00:32:17.748949Z,473,595,824,544
2024-12-24T00:32:18.760716Z,474,594,825,547
2024-12-24T00:32:19.771884Z,474,595,824,549
2024-12-24T00:32:20.779857Z,474,596,825,548
2024-12-24T00:32:21.791797Z,474,596,824,548
2024-12-24T00:32:22.802776Z,475,596,825,547
2024-12-24T00:32:23.810740Z,475,597,826,547
2024-12-24T00:32:24.822690Z,475,597,824,547
2024-12-24T00:32:25.833675Z,475,598,824,545
2024-12-24T00:32:26.841643Z,474,598,825,544
2024-12-24T00:32:27.853430Z,475,598,826,544
2024-12-24T00:32:28.864453Z,476,600,826,561
2024-12-24T00:32:29.872532Z,476,598,827,555
2024-12-24T00:32:30.884431Z,476,598,827,552
2024-12-24T00:32:31.895465Z,476,597,827,550
2024-12-24T00:32:32.903418Z,476,597,827,548
2024-12-24T00:32:33.915424Z,476,596,825,546
2024-12-24T00:32:34.926389Z,475,596,826,545
2024-12-24T00:32:35.934343Z,476,596,825,545
2024-12-24T00:32:36.946304Z,475,596,825,544
2024-12-24T00:32:37.957276Z,475,596,827,543
2024-12-24T00:32:38.965239Z,476,596,827,542
2024-12-24T00:32:39.977017Z,475,596,826,542
2024-12-24T00:32:40.988219Z,475,596,828,542
2024-12-24T00:32:41.996168Z,476,596,827,542
2024-12-24T00:32:43.008102Z,476,596,826,541
